cntr_01,dist_x,pang_x,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
1,1.186098,78.928352,3.4227564454E+02,2.2609151230E+01,646204300006454,342.2759948,22.6092145,646,4,3,zr,516,266,577,300,1.448100E+01,1.700000E-02,2.640984E-06,1.001828E+00,1.365582E-02,1.454619E+01,8.064270E-03,1.448431E+01,1.193427E-02,1.444029E+01
2,0.301519,-120.651289,1.8840008992E+00,3.3290727500E+01,1692203300010955,1.8839147,33.2906848,1692,3,3,zr,86,86,91,90,1.407500E+01,1.700000E-02,2.312812E-07,1.330120E+00,1.605448E-02,1.413588E+01,9.904385E-03,1.408626E+01,1.103979E-02,1.404709E+01
3,0.062743,16.502125,2.0741270907E+00,1.8132895389E+01,1545214300000687,2.0741323,18.1329121,1545,14,3,zr,68,68,74,74,1.464400E+01,1.400000E-02,2.182148E-07,1.050468E+00,1.034987E-02,1.467746E+01,6.894112E-03,1.464805E+01,9.730144E-03,1.462588E+01
4,0.188796,-25.807305,6.7614379471E+00,-7.8531967128E+00,345214400008387,6.7614149,-7.8531495,345,14,4,zr,91,87,98,94,1.433500E+01,1.500000E-02,3.056324E-07,8.724802E-01,1.180001E-02,1.437146E+01,7.069588E-03,1.433159E+01,1.201330E-02,1.429466E+01
5,null,null,1.0356219925E+01,-2.2352333543E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,0.095536,29.973451,1.0397384177E+01,2.0154623611E+01,1597202100003818,10.3973983,20.1546466,1597,2,1,zr,77,77,84,84,1.483300E+01,1.500000E-02,1.679679E-07,1.565245E+00,1.418510E-02,1.485933E+01,1.116276E-02,1.482782E+01,1.057337E-02,1.478963E+01
7,0.077551,-64.216606,1.0725045627E+01,2.2042465330E+01,551213200005909,10.7250247,22.0424747,551,13,2,zr,298,253,328,276,1.338500E+01,1.500000E-02,2.170204E-07,9.729044E-01,1.598072E-02,1.342727E+01,9.400368E-03,1.337498E+01,1.432513E-02,1.331254E+01
8,5.627609,-41.244563,1.2296740250E+01,5.3765566084E+00,1494201100024741,12.2957051,5.3777320,1494,1,1,zr,1,1,1,1,2.183700E+01,1.450000E-01,0.000000E+00,0.000000E+00,null,2.132586E+01,0.000000E+00,2.132586E+01,2.105210E-01,2.132586E+01
9,0.352356,167.316942,1.5852439470E+01,-6.5371553117E+00,346213100003030,15.8524611,-6.5372508,346,13,1,zr,253,205,273,222,1.414200E+01,1.800000E-02,9.485075E-07,1.092720E+00,1.497780E-02,1.417755E+01,9.784698E-03,1.413262E+01,1.327586E-02,1.408806E+01
10,1.069108,49.052372,1.5959464909E+01,5.0761873723E+00,1495202300002017,15.9596901,5.0763820,1495,2,3,zr,58,58,63,63,1.397500E+01,2.000000E-02,9.133765E-07,1.030770E+00,1.138681E-02,1.401755E+01,7.470131E-03,1.398749E+01,1.074461E-02,1.396268E+01
11,0.155311,-77.992645,1.6171869027E+01,9.8283730249E+00,1495210200001329,16.1718262,9.8283820,1495,10,2,zr,59,59,63,63,1.473300E+01,1.800000E-02,1.612782E-07,8.296750E-01,1.197582E-02,1.476516E+01,5.776405E-03,1.474003E+01,1.032223E-02,1.468344E+01
12,1.542978,179.471206,1.9500233481E+01,1.6169486587E+01,552201100006998,19.5002376,16.1690580,552,1,1,zr,230,228,258,251,1.388500E+01,1.600000E-02,1.483224E-06,9.420633E-01,1.295197E-02,1.396876E+01,7.083893E-03,1.388545E+01,1.114849E-02,1.383651E+01
13,0.082947,42.447498,2.0938424638E+01,3.6963104398E+01,696202300011289,20.9384441,36.9631214,696,2,3,zr,589,429,645,462,1.339200E+01,1.900000E-02,1.590605E-07,9.911521E-01,1.275732E-02,1.347373E+01,6.957054E-03,1.340557E+01,1.040660E-02,1.336522E+01
14,3.865684,-14.238302,2.0961283478E+01,4.5025637786E+01,1737212200051228,20.9609098,45.0266786,1737,12,2,zr,0,0,0,0,1.792100E+01,2.620000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
15,0.031602,142.134170,2.2141053450E+01,1.3855891130E+01,1548207400005538,22.1410590,13.8558842,1548,7,4,zr,74,74,81,81,1.447200E+01,2.500000E-02,1.291784E-07,8.950210E-01,1.238630E-02,1.449670E+01,5.925655E-03,1.446217E+01,9.815834E-03,1.443371E+01
16,0.205938,159.056874,2.2350210306E+01,5.1145887926E+01,774201400019161,22.3502429,51.1458345,774,1,4,zr,583,554,618,583,1.378000E+01,1.900000E-02,3.029191E-07,1.126463E+00,1.275606E-02,1.388635E+01,6.623268E-03,1.380184E+01,8.717246E-03,1.375092E+01
17,1.014419,-158.748524,2.2350449736E+01,1.0381992921E+01,502207400005126,22.3503459,10.3817303,502,7,4,zr,452,397,489,427,1.440200E+01,2.800000E-02,1.512888E-06,8.092300E-01,1.205727E-02,1.446010E+01,6.581783E-03,1.441154E+01,1.205856E-02,1.437196E+01
18,1.728368,116.372137,2.4500065422E+01,-4.9972980390E+00,399202100012967,24.5004972,-4.9975113,399,2,1,zr,173,160,206,193,1.278100E+01,2.000000E-02,6.544557E-07,9.099046E-01,1.592421E-02,1.283021E+01,9.161949E-03,1.276978E+01,1.492849E-02,1.272207E+01
19,0.123371,178.865997,2.6978381860E+01,2.3661677763E+01,603201100010563,26.9783826,23.6616435,603,1,1,zr,355,325,414,377,1.417200E+01,1.800000E-02,2.454869E-07,8.322136E-01,1.353320E-02,1.426953E+01,6.391525E-03,1.418326E+01,1.138659E-02,1.414441E+01
20,0.694240,128.814798,2.7965393162E+01,6.4430367276E+01,807213400014352,27.9657413,64.4302464,807,13,4,zr,1057,926,1120,979,1.405600E+01,1.500000E-02,1.192822E-06,9.043387E-01,1.157594E-02,1.409501E+01,6.965637E-03,1.403904E+01,1.141967E-02,1.399107E+01
21,0.096321,18.565974,2.8211761511E+01,-1.6591902063E+01,1340201300002889,28.2117704,-16.5918767,1340,1,3,zr,47,10,53,10,1.374800E+01,1.900000E-02,2.805544E-07,9.794742E-01,1.249587E-02,1.378083E+01,7.144928E-03,1.373930E+01,1.081506E-02,1.371684E+01
22,0.039170,26.565673,3.1734078970E+01,1.4649492868E+01,1549206100005575,31.7340840,14.6495026,1549,6,1,zr,78,76,86,84,1.360900E+01,2.100000E-02,1.154631E-07,7.898312E-01,1.256132E-02,1.362362E+01,7.089615E-03,1.360505E+01,1.330799E-02,1.356503E+01
23,1.109538,100.253947,3.2198803919E+01,2.5235568164E+01,604206100008985,32.1991392,25.2355133,604,6,1,zr,575,393,616,428,1.343500E+01,1.400000E-02,4.091181E-07,1.145317E+00,4.195779E-02,1.428522E+01,1.284885E-02,1.344439E+01,1.663269E-02,1.336257E+01
24,0.073191,-59.230624,3.2413798786E+01,-1.8173858701E+01,1291215300003248,32.4137804,-18.1738483,1291,15,3,zr,38,2,40,2,1.341100E+01,1.800000E-02,3.292932E-07,6.559538E-01,9.734112E-03,1.344194E+01,5.759239E-03,1.342151E+01,1.301715E-02,1.339179E+01
25,3.794283,-11.567260,3.3118007854E+01,-8.0717141615E+00,349211100037903,33.1177944,-8.0706816,349,11,1,zr,1,1,1,1,1.839400E+01,1.680000E-01,0.000000E+00,0.000000E+00,null,1.786209E+01,0.000000E+00,1.786209E+01,2.911073E-02,1.786209E+01
26,0.130311,-101.708008,3.3776015864E+01,1.9176007454E+00,451202200007273,33.7759804,1.9175934,451,2,2,zr,456,389,497,426,1.448700E+01,1.800000E-02,2.938815E-07,9.108782E-01,1.177844E-02,1.453870E+01,6.812572E-03,1.448214E+01,1.108855E-02,1.444806E+01
27,0.070927,-28.421117,3.3959497458E+01,2.9345882573E+01,1649205200003533,33.9594867,29.3458999,1649,5,2,zr,78,78,85,85,1.420700E+01,1.600000E-02,5.355105E-08,7.261650E-01,9.229122E-03,1.425440E+01,4.657269E-03,1.423415E+01,9.508674E-03,1.420841E+01
28,0.116832,56.448721,3.4565815975E+01,1.8527220464E+01,555208200011051,34.5658445,18.5272384,555,8,2,zr,467,448,493,471,1.360700E+01,2.400000E-02,1.343295E-07,8.554717E-01,1.149917E-02,1.366136E+01,6.591797E-03,1.361297E+01,1.142410E-02,1.353155E+01
29,0.220054,80.833357,3.7569624899E+01,5.2639734622E+00,452212400003030,37.5696855,5.2639832,452,12,4,zr,352,252,391,285,1.304000E+01,1.800000E-02,2.081254E-07,1.211501E+00,1.591247E-02,1.310884E+01,1.019621E-02,1.305268E+01,1.247783E-02,1.300238E+01
30,0.703602,61.223166,3.8533284886E+01,-5.1938493871E+00,401202100006045,38.5334569,-5.1937553,401,2,1,zr,292,221,334,255,1.451400E+01,1.800000E-02,6.424407E-07,1.059870E+00,1.309205E-02,1.454015E+01,9.195805E-03,1.448880E+01,1.286356E-02,1.445453E+01
31,7.807524,33.533671,3.8782009171E+01,3.7324817091E+00,452207200027589,38.7832098,3.7342895,452,7,2,zr,3,3,3,3,2.108700E+01,1.840000E-01,4.577982E-06,0.000000E+00,2.572921E-01,1.998437E+01,0.000000E+00,1.975928E+01,1.032708E-01,1.947108E+01
32,0.042849,-61.662934,4.3453247191E+01,1.9166314850E+01,556211300007245,43.4532361,19.1663205,556,11,3,zr,412,377,446,406,1.428000E+01,1.500000E-02,1.066435E-07,1.004296E+00,1.132530E-02,1.431791E+01,7.466793E-03,1.427258E+01,1.102291E-02,1.424377E+01
33,0.207996,-179.659193,4.7955200264E+01,1.9014964276E+01,1551213100000073,47.9551999,19.0149065,1551,13,1,zr,69,69,79,79,1.443100E+01,1.700000E-02,2.729268E-07,1.354294E+00,1.572202E-02,1.446032E+01,1.017570E-02,1.440560E+01,1.113976E-02,1.436471E+01
34,0.375102,150.743235,5.7209484370E+01,-9.7636039626E-01,404211100001333,57.2095353,-0.9764513,404,11,1,zr,225,205,247,224,1.432600E+01,1.500000E-02,9.138120E-07,1.017283E+00,1.402047E-02,1.440706E+01,7.699013E-03,1.434018E+01,1.122063E-02,1.428999E+01
35,0.292872,91.450336,6.5982603143E+01,1.6354077059E+01,1554210200008798,65.9826879,16.3540750,1554,10,2,zr,77,77,79,79,1.457000E+01,1.500000E-02,2.257546E-07,1.362167E+00,2.109300E-02,1.469278E+01,9.750366E-03,1.456598E+01,1.061243E-02,1.452178E+01
36,0.147166,-58.247858,6.7295253160E+01,-4.3223940127E+00,405205300015560,67.2952183,-4.3223725,405,5,3,zr,270,219,298,239,1.451400E+01,2.300000E-02,3.831632E-07,1.684960E+00,2.248339E-02,1.460223E+01,1.199579E-02,1.452800E+01,1.055513E-02,1.444000E+01
37,0.312549,-28.683950,6.7359061619E+01,-4.8123995647E+00,405201200001508,67.3590198,-4.8123234,405,1,2,zr,266,216,297,239,1.465300E+01,1.400000E-02,5.581478E-07,9.842389E-01,1.280853E-02,1.470954E+01,6.993771E-03,1.466230E+01,1.053501E-02,1.460709E+01
38,0.153176,-172.316959,7.6565914884E+01,1.4808051167E+01,1556208200005199,76.5659090,14.8080090,1556,8,2,zr,56,56,58,58,1.431500E+01,1.400000E-02,2.697852E-07,7.916741E-01,9.763265E-03,1.436097E+01,5.590439E-03,1.433742E+01,1.046944E-02,1.431491E+01
39,0.286504,-42.444564,7.8026307914E+01,-7.0140912776E-01,1452208300007814,78.0262542,-0.7013504,1452,8,3,zr,53,45,53,45,1.404300E+01,1.300000E-02,3.679692E-07,8.807833E-01,1.204266E-02,1.411555E+01,6.134987E-03,1.407187E+01,1.032687E-02,1.403247E+01
40,0.056160,-37.375163,8.0392899220E+01,2.8935653603E+01,1655205200019073,80.3928884,28.9356660,1655,5,2,zr,74,74,76,76,1.455200E+01,1.600000E-02,1.422199E-07,1.186404E+00,1.213280E-02,1.458852E+01,8.361816E-03,1.455109E+01,1.044942E-02,1.452730E+01
41,0.334956,-176.501518,8.1151073305E+01,-5.5868990300E+00,407201300000513,81.1510676,-5.5869919,407,1,3,zr,178,162,199,178,1.408000E+01,1.300000E-02,8.061565E-07,1.061319E+00,1.164374E-02,1.411371E+01,6.735325E-03,1.408132E+01,9.408848E-03,1.403948E+01
42,0.915092,29.630326,8.7831675026E+01,-1.7152175238E-01,1453207400002107,87.8318007,-0.1713008,1453,7,4,zr,47,41,51,45,1.437800E+01,1.800000E-02,3.997423E-07,6.357146E-01,7.584676E-03,1.438396E+01,4.837036E-03,1.436459E+01,1.128083E-02,1.434410E+01
43,0.085781,5.654070,9.0207180140E+01,5.8516905877E+00,1506203100005951,90.2071825,5.8517143,1506,3,1,zr,47,47,50,50,1.467200E+01,1.800000E-02,2.438673E-07,1.227564E+00,1.442931E-02,1.471454E+01,8.019447E-03,1.466365E+01,9.685546E-03,1.462581E+01
44,0.027709,-5.976965,9.3355920471E+01,3.4348390245E+01,1703204100014777,93.3559195,34.3483979,1703,4,1,zr,55,55,58,58,1.390000E+01,1.500000E-02,1.834466E-07,7.781798E-01,7.822811E-03,1.393759E+01,4.845619E-03,1.391618E+01,9.231947E-03,1.389463E+01
45,0.051888,-6.910158,1.0157653399E+02,2.9336952691E+01,1658206100006227,101.5765320,29.3369670,1658,6,1,zr,48,48,51,51,1.388500E+01,1.300000E-02,2.591686E-07,9.793171E-01,1.427542E-02,1.392332E+01,9.357452E-03,1.389983E+01,1.416636E-02,1.386617E+01
46,2.052236,-163.265712,1.0190700343E+02,3.7511682824E+01,706204300011990,101.9067965,37.5111369,706,4,3,zr,76,76,141,141,1.231800E+01,1.000000E-02,6.711891E-07,9.123940E-01,1.315175E-02,1.236550E+01,6.343842E-03,1.233217E+01,1.030846E-02,1.229165E+01
47,3.058245,-21.322698,1.0246827043E+02,8.2438963898E-01,410213200055737,102.4679615,0.8251810,410,13,2,zr,0,0,1,1,1.651000E+01,1.810000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.058512E-02,0.000000E+00
48,4.790916,-177.481645,1.0430254345E+02,5.5575947248E+00,1508203100049017,104.3024847,5.5562652,1508,3,1,zr,0,0,0,0,1.613300E+01,2.130000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
49,null,null,1.0703901124E+02,3.8891496182E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
50,0.109837,-116.956125,1.0754622122E+02,4.0605921531E+01,1746203300008783,107.5461854,40.6059077,1746,3,3,zr,50,50,55,55,1.444100E+01,1.800000E-02,1.559561E-07,1.247676E+00,1.220203E-02,1.447467E+01,7.942200E-03,1.444432E+01,9.437628E-03,1.441961E+01
51,7.680524,-98.169466,1.1127754989E+02,-1.3937249139E+01,310216200052872,111.2753740,-13.9375523,310,16,2,zr,52,52,54,54,1.828100E+01,9.500000E-02,5.151104E-06,3.444208E+00,3.457935E-01,1.974260E+01,1.941090E-01,1.870917E+01,8.355649E-02,1.812038E+01
52,0.042819,-22.176489,1.1190714329E+02,2.3303458386E+01,1611210300003416,111.9071384,23.3034694,1611,10,3,zr,50,50,51,51,1.453100E+01,1.700000E-02,2.814745E-07,1.027680E+00,1.219789E-02,1.458171E+01,7.463455E-03,1.453638E+01,1.076728E-02,1.451656E+01
53,0.158482,-80.200075,1.1403271616E+02,1.4747349707E+01,1561207200008386,114.0326713,14.7473572,1561,7,2,zr,49,49,52,52,1.434000E+01,1.300000E-02,2.935380E-07,1.620481E+00,1.600187E-02,1.442080E+01,1.013374E-02,1.436765E+01,9.271499E-03,1.433607E+01
54,0.089890,-148.767879,1.1914309615E+02,-6.4592184921E-01,1458208300032065,119.1430832,-0.6459432,1458,8,3,zr,25,12,51,18,1.210400E+01,3.300000E-02,3.890716E-07,1.057650E+00,1.136047E-02,1.200740E+01,8.675575E-03,1.198549E+01,1.216130E-02,1.196305E+01
55,0.149165,111.949330,1.2315787858E+02,1.7616675388E+01,567207400019347,123.1579189,17.6166599,567,7,4,zr,601,541,928,852,1.360500E+01,1.600000E-02,6.907012E-07,1.153151E+00,1.092010E-02,1.368379E+01,6.617546E-03,1.361990E+01,8.508147E-03,1.358382E+01
56,0.082383,-16.300737,1.3026613083E+02,3.3546300359E+00,465207400002508,130.2661244,3.3546520,465,7,4,zr,258,197,283,221,1.472000E+01,1.500000E-02,3.282787E-07,1.045902E+00,1.263094E-02,1.476482E+01,7.297993E-03,1.471634E+01,1.034514E-02,1.467274E+01
57,0.139226,-162.251084,1.3072086781E+02,2.3006690833E+01,1614212400005564,130.7208550,23.0066540,1614,12,4,zr,36,36,47,47,1.469500E+01,1.500000E-02,1.758512E-07,1.330877E+00,1.330123E-02,1.470835E+01,8.218765E-03,1.467993E+01,9.155724E-03,1.464865E+01
58,0.150485,-5.547423,1.3821526075E+02,2.7342054094E+01,1663203100003502,138.2152562,27.3420957,1663,3,1,zr,27,27,54,45,1.257200E+01,2.200000E-02,4.758421E-07,1.109599E+00,7.013295E-02,1.253232E+01,9.325027E-03,1.248600E+01,1.245972E-02,1.220583E+01
59,4.075976,-135.610113,1.3897555325E+02,5.3418310584E+01,785206400004210,138.9742243,53.4175015,785,6,4,zr,303,303,319,319,1.378600E+01,2.100000E-02,7.981099E-07,8.350234E-01,1.277233E-02,1.380458E+01,9.262085E-03,1.377710E+01,1.644501E-02,1.373924E+01
60,0.085190,93.474539,1.4629952934E+02,-3.1559913659E+00,417208200003487,146.2995530,-3.1559928,417,8,2,zr,225,178,247,195,1.426400E+01,1.300000E-02,5.792132E-07,8.935977E-01,1.323406E-02,1.433204E+01,6.898880E-03,1.428253E+01,1.144618E-02,1.423690E+01
61,1.032948,0.385529,1.4666279112E+02,4.3915784877E+01,1750206200000983,146.6627938,43.9160718,1750,6,2,zr,42,42,52,52,1.350800E+01,2.000000E-02,7.452221E-07,1.055540E+00,1.931594E-02,1.356313E+01,1.124763E-02,1.350668E+01,1.579830E-02,1.344189E+01
62,0.178484,-120.692171,1.4719399220E+02,2.4356707906E+01,619205400007163,147.1939454,24.3566826,619,5,4,zr,501,392,544,425,1.446400E+01,1.300000E-02,3.114681E-07,1.152935E+00,1.399387E-02,1.454347E+01,8.373260E-03,1.446975E+01,1.076747E-02,1.443437E+01
63,0.243953,-100.560916,1.5240050034E+02,6.3976670920E+01,817211100000008,152.4003485,63.9766585,817,11,1,zr,153,111,193,150,1.394400E+01,1.000000E-02,4.982598E-07,1.274845E+00,1.536852E-02,1.402797E+01,9.617805E-03,1.398045E+01,1.118517E-02,1.393474E+01
64,0.349490,-68.395552,1.5624865567E+02,4.7696324553E+00,469211300005914,156.2485651,4.7696682,469,11,3,zr,39,30,48,38,1.437900E+01,1.900000E-02,1.061613E-06,1.681885E+00,1.663795E-02,1.438164E+01,1.201057E-02,1.435548E+01,1.058746E-02,1.431633E+01
65,0.234949,-111.474019,1.5729040307E+02,2.0979113917E+00,469203100003595,157.2903423,2.0978875,469,3,1,zr,169,133,202,157,1.442200E+01,1.800000E-02,4.906584E-07,1.104304E+00,1.318462E-02,1.445736E+01,8.433342E-03,1.441001E+01,1.132231E-02,1.437772E+01
66,0.115926,-68.774952,1.5804117246E+02,5.3493053642E+01,787207400004545,158.0411220,53.4930653,787,7,4,zr,711,586,772,642,1.475900E+01,1.500000E-02,3.382793E-07,9.467103E-01,1.283506E-02,1.480162E+01,7.887840E-03,1.475509E+01,1.235279E-02,1.471699E+01
67,0.105671,-75.438532,1.5910523460E+02,4.6141481820E+01,752206400012948,159.1051936,46.1414892,752,6,4,zr,729,561,774,591,1.455600E+01,1.700000E-02,5.591123E-07,1.176940E+00,2.402714E-02,1.458236E+01,1.301193E-02,1.452609E+01,1.639122E-02,1.444500E+01
68,0.263345,-54.818405,1.5926544729E+02,-1.3851754759E-01,418213300002472,159.2653875,-0.1384754,418,13,3,zr,174,132,195,153,1.352300E+01,1.100000E-02,7.169144E-07,9.219398E-01,1.680752E-02,1.360381E+01,9.621143E-03,1.353111E+01,1.547206E-02,1.349739E+01
69,0.262548,-86.099543,1.6367976115E+02,2.7115694239E+01,622212100008872,163.6796794,27.1156992,622,12,1,zr,288,208,344,232,1.431700E+01,2.300000E-02,7.207437E-07,1.121133E+00,1.540676E-02,1.436213E+01,9.477615E-03,1.431739E+01,1.253331E-02,1.427044E+01
70,0.549368,-117.522636,1.6692651325E+02,5.9974163018E+01,818202200001167,166.9262428,59.9740925,818,2,2,zr,456,366,516,423,1.402100E+01,1.100000E-02,3.851946E-07,1.267542E+00,1.744121E-02,1.408272E+01,9.963989E-03,1.402774E+01,1.165454E-02,1.395169E+01
71,0.191772,-37.805617,1.7157945016E+02,1.8654447312E+01,574207200015233,171.5794157,18.6544894,574,7,2,zr,324,279,357,302,1.431800E+01,2.100000E-02,6.019404E-07,1.643679E+00,2.409788E-02,1.438831E+01,1.400089E-02,1.431693E+01,1.262882E-02,1.421111E+01
72,0.094482,107.606200,1.7311421517E+02,1.5291688238E+01,523214200001725,173.1142411,15.2916803,523,14,2,zr,263,225,301,262,1.430800E+01,1.600000E-02,6.502378E-07,1.035479E+00,1.683439E-02,1.437722E+01,9.773254E-03,1.431246E+01,1.399335E-02,1.426320E+01
73,0.073966,-71.238779,1.7413952113E+02,7.5114906092E+01,861207300002887,174.1394454,75.1149127,861,7,3,zr,361,352,412,403,1.343000E+01,1.500000E-02,4.808878E-07,7.924586E-01,1.064560E-02,1.347628E+01,6.684303E-03,1.343869E+01,1.250557E-02,1.339620E+01
74,0.278848,-75.535228,1.7427051073E+02,2.9799468952E+01,670202400005470,174.2704243,29.7994883,670,2,4,zr,494,356,572,407,1.273100E+01,1.500000E-02,8.852148E-07,8.559968E-01,1.573171E-02,1.278579E+01,8.939266E-03,1.272391E+01,1.548295E-02,1.257038E+01
75,0.063527,-20.763153,1.7599712701E+02,7.4847893997E+00,472216100006313,175.9971207,7.4848059,472,16,1,zr,202,171,216,184,1.459000E+01,1.800000E-02,4.344707E-07,1.269495E+00,1.531774E-02,1.464109E+01,9.953022E-03,1.459393E+01,1.162379E-02,1.455385E+01
76,0.538204,-148.609559,1.7648532005E+02,3.1824025920E+01,670205400005094,176.4852284,31.8238983,670,5,4,zr,547,380,588,411,1.389500E+01,1.400000E-02,1.137520E-06,1.061286E+00,1.500217E-02,1.396864E+01,9.264946E-03,1.390156E+01,1.294299E-02,1.386138E+01
77,0.286203,3.570882,1.7701326338E+02,1.8513212453E+01,575208200003275,177.0132686,18.5132918,575,8,2,zr,336,292,368,318,1.449800E+01,1.500000E-02,4.954192E-07,9.819090E-01,1.395714E-02,1.458167E+01,8.529663E-03,1.451771E+01,1.287907E-02,1.448603E+01
78,0.120904,-94.031749,1.8116007061E+02,6.0535424661E+01,819206300004648,181.1600025,60.5354223,819,6,3,zr,665,574,740,646,1.383900E+01,1.100000E-02,4.332227E-07,9.401327E-01,1.929344E-02,1.390774E+01,1.184654E-02,1.383616E+01,1.868213E-02,1.377310E+01
79,0.098193,112.734516,1.8335271613E+02,5.3065726241E+01,1792212100000343,183.3527580,53.0657157,1792,12,1,zr,35,26,40,31,1.438200E+01,1.500000E-02,8.054445E-07,1.196740E+00,1.638988E-02,1.443956E+01,1.014614E-02,1.439984E+01,1.256970E-02,1.436746E+01
80,0.482747,-82.098043,1.8789286597E+02,-1.5356778354E+00,422209200006440,187.8927331,-1.5356594,422,9,2,zr,172,145,193,165,1.470500E+01,1.600000E-02,8.224105E-07,1.025407E+00,1.522022E-02,1.472723E+01,8.179665E-03,1.468119E+01,1.182669E-02,1.464868E+01
81,0.162752,37.936035,1.8872776951E+02,3.7628977644E+01,1714210300002980,188.7278046,37.6290133,1714,10,3,zr,24,19,28,23,1.430600E+01,1.800000E-02,2.107689E-07,2.165564E+00,2.818139E-02,1.433794E+01,1.697016E-02,1.427391E+01,1.161820E-02,1.421641E+01
82,0.192264,-95.081666,1.8918752438E+02,4.7922565131E+01,755209300004537,189.1874450,47.9225604,755,9,3,zr,599,433,654,475,1.468500E+01,1.300000E-02,5.940070E-07,1.165502E+00,1.846572E-02,1.474771E+01,1.124191E-02,1.468415E+01,1.430050E-02,1.461557E+01
83,3.826048,-29.870584,1.8980842857E+02,7.8834521983E+00,525201400038569,189.8078942,7.8843738,525,1,4,zr,0,0,0,0,1.701300E+01,3.120000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
84,4.504346,-24.238860,1.8980841277E+02,7.8832328971E+00,525201400038569,189.8078942,7.8843738,525,1,4,zr,0,0,0,0,1.701300E+01,3.120000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
85,0.390806,-158.624393,1.9111880088E+02,-1.3168320104E+00,423211200004383,191.1187613,-1.3169331,423,11,2,zr,157,149,201,172,1.426200E+01,1.400000E-02,7.869355E-07,1.008696E+00,1.310053E-02,1.429106E+01,7.757187E-03,1.425146E+01,1.140165E-02,1.421991E+01
86,0.163884,-69.838027,1.9251828969E+02,5.5100401009E+01,1824201400031100,192.5182150,55.1004167,1824,1,4,zr,196,183,222,206,1.298200E+01,2.200000E-02,3.801131E-06,8.105588E+00,1.666008E-01,1.301915E+01,8.809948E-02,1.269181E+01,1.611435E-02,1.254726E+01
87,0.283608,-171.727495,1.9425949293E+02,2.2030385260E+01,577215100004906,194.2594807,22.0303073,577,15,1,zr,453,293,498,323,1.361600E+01,1.700000E-02,1.284420E-06,8.960552E-01,1.408538E-02,1.370443E+01,7.916451E-03,1.363276E+01,1.309844E-02,1.359577E+01
88,0.294052,-31.189551,1.9613333294E+02,5.9459415225E+01,820202100005700,196.1332497,59.4594851,820,2,1,zr,627,496,703,567,1.472400E+01,1.400000E-02,8.116177E-07,9.226694E-01,1.199188E-02,1.476561E+01,7.341385E-03,1.472412E+01,1.179657E-02,1.468008E+01
89,0.412736,101.496496,1.9824286778E+02,5.8086104651E+01,790213100010866,198.2430803,58.0860818,790,13,1,zr,619,496,704,575,1.418900E+01,1.700000E-02,1.678143E-06,1.514066E+00,2.686282E-02,1.422669E+01,1.639843E-02,1.415647E+01,1.605763E-02,1.406324E+01
90,0.699709,-106.324051,1.9909025167E+02,2.9098249030E+01,1671207100035061,199.0900382,29.0981944,1671,7,1,zr,29,19,31,21,1.303500E+01,9.900000E-02,8.329177E-07,8.601245E+00,1.150589E-01,1.323542E+01,9.433842E-02,1.308807E+01,1.626115E-02,1.280636E+01
91,0.913258,-68.569729,1.9980435086E+02,4.5086562713E+01,1756211300000136,199.8040164,45.0866554,1756,11,3,zr,12,10,20,18,1.429600E+01,1.400000E-02,2.149620E-06,1.560068E+00,1.837303E-02,1.429863E+01,1.240301E-02,1.428240E+01,1.178712E-02,1.423755E+01
92,0.228739,-94.645491,2.0400669564E+02,4.8479322946E+01,757211400024625,204.0066001,48.4793178,757,11,4,zr,696,560,779,633,1.427600E+01,1.400000E-02,8.010796E-07,1.337779E+00,3.152090E-02,1.430756E+01,1.107359E-02,1.426738E+01,1.227236E-02,1.407329E+01
93,0.635779,-38.243894,2.0650700408E+02,5.7009951197E+01,791213300006497,206.5068033,57.0100899,791,13,3,zr,674,574,757,650,1.365300E+01,1.200000E-02,2.026520E-06,1.039164E+00,1.874245E-02,1.370967E+01,1.071978E-02,1.364892E+01,1.529416E-02,1.357219E+01
94,0.115086,16.517332,2.1213412820E+02,5.9673756951E+01,821201200003547,212.1341462,59.6737876,821,1,2,zr,651,520,747,609,1.369500E+01,1.900000E-02,4.033713E-07,1.096966E+00,1.423127E-02,1.379143E+01,8.433342E-03,1.369214E+01,1.139805E-02,1.364650E+01
